SOURCE_ROW,TIME,PI,X,Y,RA,DEC,KEV,MISSION,INSTRUMENT,OBSERVATION_ID,RECORD_KEY
19200,456567819.44916,1056,702,811,350.8756,58.8401,3.8544,suzaku,xis,508011020,suzaku/xis/508011020
19298,456567827.44915885,569,884,719,350.77383,58.813454,2.07685,suzaku,xis,508011020,suzaku/xis/508011020
19412,456567827.44915885,998,779,802,350.83252,58.837498,3.6427,suzaku,xis,508011020,suzaku/xis/508011020
19467,456567827.44915885,596,765,848,350.84036,58.850815,2.1754,suzaku,xis,508011020,suzaku/xis/508011020
19974,456567843.4491567,1430,806,800,350.8174,58.836918,5.2195,suzaku,xis,508011020,suzaku/xis/508011020
20419,456567851.44915557,1414,680,799,350.8879,58.83662,5.1611,suzaku,xis,508011020,suzaku/xis/508011020
20882,456567867.44915336,238,792,802,350.82526,58.837498,0.8687,suzaku,xis,508011020,suzaku/xis/508011020
21561,456567883.44915116,843,713,788,350.86945,58.833443,3.07695,suzaku,xis,508011020,suzaku/xis/508011020
22124,456567899.44914895,1639,780,912,350.83197,58.869343,5.98235,suzaku,xis,508011020,suzaku/xis/508011020
22177,456567899.44914895,551,691,776,350.88174,58.829964,2.01115,suzaku,xis,508011020,suzaku/xis/508011020
23531,456567939.4491434,410,831,879,350.8034,58.859783,1.4965,suzaku,xis,508011020,suzaku/xis/508011020
23791,456567947.44914234,524,867,861,350.78326,58.85457,1.9126,suzaku,xis,508011020,suzaku/xis/508011020
23846,456567947.44914234,440,783,763,350.8303,58.826206,1.606,suzaku,xis,508011020,suzaku/xis/508011020
24019,456567947.44914234,1051,693,957,350.8807,58.882362,3.83615,suzaku,xis,508011020,suzaku/xis/508011020
24371,456567963.4491401,378,850,737,350.79282,58.818672,1.3797,suzaku,xis,508011020,suzaku/xis/508011020
24625,456567963.4491401,328,628,832,350.91702,58.84616,1.1972,suzaku,xis,508011020,suzaku/xis/508011020
25022,456567979.44913787,611,812,747,350.8141,58.821575,2.23015,suzaku,xis,508011020,suzaku/xis/508011020
25294,456567987.44913673,450,814,768,350.81296,58.827652,1.6425,suzaku,xis,508011020,suzaku/xis/508011020
26317,456568011.4491334,531,783,923,350.8303,58.872528,1.93815,suzaku,xis,508011020,suzaku/xis/508011020
26814,456568027.44913113,313,825,804,350.8068,58.838074,1.14245,suzaku,xis,508011020,suzaku/xis/508011020
26893,456568027.44913113,479,769,868,350.83813,58.856606,1.74835,suzaku,xis,508011020,suzaku/xis/508011020
26987,456568027.44913113,524,704,978,350.87454,58.888447,1.9126,suzaku,xis,508011020,suzaku/xis/508011020
27187,456568035.44913,703,766,820,350.8398,58.84271,2.56595,suzaku,xis,508011020,suzaku/xis/508011020
27952,456568059.4491266,325,812,733,350.8141,58.81752,1.18625,suzaku,xis,508011020,suzaku/xis/508011020
27999,456568059.4491266,463,779,755,350.83252,58.82389,1.68995,suzaku,xis,508011020,suzaku/xis/508011020
28086,456568059.4491266,407,739,871,350.85492,58.85747,1.48555,suzaku,xis,508011020,suzaku/xis/508011020
28185,456568067.44912547,515,948,731,350.73804,58.816906,1.87975,suzaku,xis,508011020,suzaku/xis/508011020
28484,456568075.4491244,504,880,847,350.776,58.85051,1.8396,suzaku,xis,508011020,suzaku/xis/508011020
28606,456568075.4491244,367,770,875,350.83755,58.85863,1.33955,suzaku,xis,508011020,suzaku/xis/508011020
29086,456568091.44912213,531,830,805,350.804,58.838364,1.93815,suzaku,xis,508011020,suzaku/xis/508011020
29821,456568107.44911987,359,668,809,350.89462,58.83951,1.31035,suzaku,xis,508011020,suzaku/xis/508011020
30117,456568115.44911873,369,639,821,350.91086,58.84298,1.34685,suzaku,xis,508011020,suzaku/xis/508011020
30144,456568123.4491176,541,976,782,350.72232,58.831657,1.97465,suzaku,xis,508011020,suzaku/xis/508011020
30337,456568123.4491176,517,704,785,350.87448,58.832573,1.88705,suzaku,xis,508011020,suzaku/xis/508011020
30429,456568131.44911647,350,884,722,350.77383,58.814323,1.2775,suzaku,xis,508011020,suzaku/xis/508011020
31418,456568155.4491131,266,814,951,350.81293,58.88063,0.9709,suzaku,xis,508011020,suzaku/xis/508011020
31590,456568163.44911194,504,911,900,350.7586,58.865845,1.8396,suzaku,xis,508011020,suzaku/xis/508011020
32060,456568171.4491108,423,683,771,350.88623,58.828514,1.54395,suzaku,xis,508011020,suzaku/xis/508011020
32549,456568187.44910854,495,800,831,350.82077,58.845894,1.80675,suzaku,xis,508011020,suzaku/xis/508011020
32684,456568187.44910854,520,671,856,350.89297,58.85312,1.898,suzaku,xis,508011020,suzaku/xis/508011020
32692,456568187.44910854,291,643,801,350.9086,58.83719,1.06215,suzaku,xis,508011020,suzaku/xis/508011020
33159,456568203.4491062,400,773,834,350.83588,58.846764,1.46,suzaku,xis,508011020,suzaku/xis/508011020
34523,456568243.44910055,713,913,859,350.7575,58.853973,2.60245,suzaku,xis,508011020,suzaku/xis/508011020
34548,456568243.44910055,669,853,785,350.79114,58.83257,2.44185,suzaku,xis,508011020,suzaku/xis/508011020
34645,456568243.44910055,811,760,792,350.84317,58.834602,2.96015,suzaku,xis,508011020,suzaku/xis/508011020
35643,456568275.449096,346,860,741,350.78723,58.819828,1.2629,suzaku,xis,508011020,suzaku/xis/508011020
35794,456568275.449096,511,750,835,350.84875,58.84705,1.86515,suzaku,xis,508011020,suzaku/xis/508011020
35827,456568275.449096,482,714,821,350.8689,58.842995,1.7593,suzaku,xis,508011020,suzaku/xis/508011020
36247,456568291.44909376,362,840,739,350.79843,58.819252,1.3213,suzaku,xis,508011020,suzaku/xis/508011020
36317,456568291.44909376,255,776,788,350.8342,58.833447,0.93075,suzaku,xis,508011020,suzaku/xis/508011020
37687,456568331.44908804,907,817,747,350.81128,58.82157,3.31055,suzaku,xis,508011020,suzaku/xis/508011020
38014,456568339.4490869,1014,756,750,350.8454,58.822445,3.7011,suzaku,xis,508011020,suzaku/xis/508011020
38304,456568347.4490858,494,785,835,350.82916,58.84705,1.8031,suzaku,xis,508011020,suzaku/xis/508011020
38987,456568363.4490835,488,692,780,350.8812,58.831123,1.7812,suzaku,xis,508011020,suzaku/xis/508011020
39785,456568387.4490801,286,762,826,350.84204,58.844448,1.0439,suzaku,xis,508011020,suzaku/xis/508011020
39845,456568387.4490801,656,705,788,350.87393,58.83344,2.3944,suzaku,xis,508011020,suzaku/xis/508011020
40243,456568403.4490778,749,822,777,350.80847,58.830257,2.73385,suzaku,xis,508011020,suzaku/xis/508011020
40681,456568411.44907665,671,710,874,350.87115,58.858337,2.44915,suzaku,xis,508011020,suzaku/xis/508011020
40827,456568419.4490755,584,797,774,350.82245,58.82939,2.1316,suzaku,xis,508011020,suzaku/xis/508011020
41177,456568427.4490744,517,736,777,350.85657,58.83026,1.88705,suzaku,xis,508011020,suzaku/xis/508011020
41447,456568435.44907326,450,749,811,350.8493,58.840103,1.6425,suzaku,xis,508011020,suzaku/xis/508011020
41860,456568451.449071,441,1112,775,350.64627,58.82954,1.60965,suzaku,xis,508011020,suzaku/xis/508011020
42265,456568459.44906986,479,773,799,350.83588,58.836628,1.74835,suzaku,xis,508011020,suzaku/xis/508011020
